x,LNM,HNM
0.01176,-167.974,-54.762
0.017371,-167.94,-63.972
0.025372,-167.939,-72.278
0.03583,-167.873,-79.064
0.06856,-167.936,-88.547
0.09901,-167.967,-91.515
0.10116,-167.93,-91.659
0.12573,-167.491,-93.213
0.15626,-166.994,-95.026
0.18707,-166.552,-96.192
0.19746,-166.41,-96.535
0.22395,-166.373,-97.681
0.229,-166.407,-99.819
0.22942,-166.41,-99.923
0.25812,-166.522,-104.029
0.27815,-166.577,-107.267
0.2931,-166.612,-109.796
0.30656,-166.642,-110.506
0.4296,-166.891,-113.355
0.4439,-166.926,-113.714
0.5289,-167.622,-116.106
0.5338,-167.694,-116.205
0.6361,-168.367,-117.685
0.7027,-168.625,-118.624
0.736,-168.932,-119.408
0.7765,-168.984,-119.855
0.7844,-168.873,-119.78
0.9956,-166.205,-116.515
1.0286,-165.887,-116.035
1.187,-163.336,-114.149
1.4316,-160.185,-111.871
1.4755,-159.488,-111.449
1.8764,-154.225,-107.683
1.9124,-153.849,-107.387
2.3844,-149.265,-104.353
2.4594,-148.524,-103.951
3.118,-145.692,-100.83
3.673,-143.411,-98.516
3.745,-143.081,-98.238
4.458,-143.942,-96.587
5.251,-144.162,-98.515
5.368,-144.116,-98.814
6.234,-150.335,-100.827
6.276,-150.507,-100.982
6.62,-151.912,-104.658
7.322,-154.584,-110.082
7.769,-156.098,-113.398
7.921,-156.552,-113.683
10.37,-164.066,-116.185
11.068,-164.365,-116.636
15.307,-162.255,-119.822
15.321,-162.251,-119.848
16.281,-164.964,-124.001
16.877,-166.903,-127.251
17.691,-168.562,-129.584
18.999,-171.873,-138.378
19.626,-173.468,-138.331
19.801,-173.883,-138.312
22.231,-177.867,-137.967
26.022,-181.543,-137.363
30.553,-184.653,-136.682
38.08,-186.658,-135.694
47.18,-187.582,-134.702
60.94,-187.71,-133.501
63.07,-187.67,-133.34
72.86,-187.195,-132.665
80.39,-186.347,-132.208
85.58,-185.832,-131.919
96.12,-185.112,-131.387
120.53,-185.086,-130.38
149.34,-185.034,-129.483
182.64,-185.711,-128.735
192.33,-185.907,-128.566
240.43,-186.575,-127.899
294.36,-187.294,-127.022
322.82,-187.422,-126.341
328.39,-187.42,-126.188
349.8,-187.216,-125.549
401.2,-186.213,-123.864
538.8,-184.824,-119.6
553.2,-184.605,-119.22
759.1,-181.018,-115.075
862.5,-179.551,-113.434
995.5,-177.984,-111.473
1252.3,-175.31,-108.183
1397.9,-174.082,-106.595
1603.7,-172.507,-104.636
2053.7,-169.447,-101.18
2477.6,-167.504,-98.624
2693.4,-166.644,-97.503
3532,-163.507,-93.895
4510,-160.665,-90.601
4605,-160.421,-90.313
5863,-157.618,-86.891
7074,-155.55,-84.224
8088,-154.044,-82.395
9701,-151.704,-79.982
10452,-150.239,-79.005
11533,-148.192,-77.719
12726,-146.151,-76.434
15587,-141.857,-73.756
18470,-138.334,-71.445
19611,-137.1,-70.606
25345,-131.727,-66.956
27375,-129.992,-65.891
30132,-127.896,-64.668
3.393e+04,-125.555,-63.268
3.871e+04,-122.959,-61.497
4.192e+04,-121.301,-60.363
4.77e+04,-118.486,-58.542
5.471e+04,-115.555,-56.823
6.543e+04,-111.749,-67.414
7.177e+04,-109.744,-80.192
7.919e+04,-107.739,-100.835
8.558e+04,-106.042,-123.065
9.556e+04,-103.805,-165.131
